Restaurant,Author,Rating,Review,Processed Review,sentiment_textblob,sentiment_vader,ActualSentiment
Ombak Kitchen @ IOI City Mall,rozlinda yahya,5,"Delicious shell-out meals! Australian lobster is the best! Very, very friendly staffs. Special mention to Supervisor Nivitha who was very friendly and helpful! Overall, great experience and will definitely come again!",delicious meal australian lobster best friendly staff special mention supervisor nivitha friendly helpful overall great experience definitely come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,aja sulaiman,5,"Had a wonderful shell out dinner last night to celebrate my husband's birthday together with my son at Ombak Kitchen IOI Putrajaya..Dave, the manager was truly helpful & mindful of customers needs/comments. Totally in love with the ambience",wonderful shell dinner last night celebrate husband birthday together son ombak kitchen ioi putrajaya dave manager truly helpful mindful customer totally love ambience,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Kevin Teh,5,"We family just had a great time here. The food is good especially the prawn and the crab. The operation manager is super friendly. We sit outdoor with cool breeze , cloudy day. No regret dining here. Will definitely be back.",family great time food good especially prawn crab operation manager super friendly sit outdoor cool breeze cloudy day regret dining definitely back,positive,positive,positive
Ombak Kitchen @ IOI City Mall,madihah zulkepli,5,Nice food..cajun sauce so delicious.Definitely will come again,nice food cajun sauce come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,norhaiza ishak,5,"The service was tremendous and thumbs up to Dave, the restaurant manager for his superb hospitality.

The food , especially the oyster was marvelous.

Will definitely come back and will make sure the oysters will be in my order.

Thank you Dave for the surprise too",service tremendous thumb dave restaurant manager superb hospitality food especially oyster marvelous definitely come back make sure oyster order thank dave surprise,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Aidil Aiman,5,High recommended 👏Great service,high recommended service,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Mohammad Sobri Azizan,5,Excellence service and food. Really appreciated,excellence service food really appreciated,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Kay Salleh,4,We celebrated birthday. The waitresses were so kind and nice. Foods were delicious except the corn tasted a bit off.,celebrated birthday waitress kind nice food delicious except corn tasted bit,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Kd M,3,"Went there for iftar. Ombak thank you for the food but you can do better next time. Seafood on ice couldve been fresher. And prawn stick is not seafood. No juice as mentioned in the food list.
It was during iftar but the music was too much and no announcement of azan time. Everyone broke fast 5min later because nobody inform it was already maghrib.
Prices also were not cleared up before hand. I asked 3 times on whatsapp the total price and ombak kept on avoiding to answer. Finally gave me the price of 2 adults tho i clearly mentioned got a 3yo. But suddenly i ended up have to pay for child price as well.
Communication wise - very bad.
Food - so so.
(My prev exp with ombak ioi was much better overall)",went iftar ombak thank food better next time seafood ice couldve fresher prawn stick seafood juice mentioned food list iftar music much announcement azan time everyone broke fast 5min later nobody inform already maghrib price also cleared hand asked 3 time whatsapp total price ombak kept avoiding answer finally gave price 2 adult tho clearly mentioned got 3yo suddenly ended pay child price well communication wise bad food prev exp ombak ioi much better overall,positive,positive,neutral
Ombak Kitchen @ IOI City Mall,Aleeya Nadhirah,5,Good services from staff Amirul & Rabi. Highly recommended...,good service staff amirul rabi highly recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Ashok Ash,5,"Today I have an unforgettable moment in my life on valentine's day 14.2.23... At 1st, I have planned to dine nearby KLCC to celebrate valentine's with my wife... But then I've changed my mind to dine at ombak kitchen putrajaya... So basically today is our very 1st time at ombak kitchen putrajaya and I must say that I cant stop myself thanking to En. Adnan who guide me for my reservation... Ms. Nivitha ( branch supervisor) who follow up my reservation and explained the food details upon my arrival. And last but not list Mr. Dave (branch Manager) who surprised us with a candle light table with roses... Imagine to have dinner with your loved one beside the water fountain ⛲... the best environment that I ever had ...

This will the most pleasant moment for a new customer who wish to venture to a new place to dine in...

Overall they have serve us the best !!! Ombak kitchen... My best wishes to you and all the staff ...

10 by 10 for food and service!!!",today unforgettable moment life valentine day 1st planned dine nearby klcc celebrate valentine wife changed mind dine ombak kitchen putrajaya basically today 1st time ombak kitchen putrajaya must say cant stop thanking en adnan guide reservation nivitha branch supervisor follow reservation explained food detail upon arrival last list dave branch manager surprised u candle light table rose imagine dinner loved one beside water fountain best environment ever pleasant moment new customer wish venture new place dine overall serve u best ombak kitchen best wish staff 10 10 food service,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Amanina Abd Sukor,5,Good food experience and taste. Great service by maya and arol,good food experience taste great service maya arol,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Christy Koo,5,Good place for birthday celebration. Delicious signature cajun sauce and good service from Rabi and Shafia. Thank you!,good place birthday celebration delicious signature cajun sauce good service rabi shafia thank,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Nadhirah Abdul Rahman,5,"Loveeee the food, ambience and the service! The cajun sauce especially is really delicious, all thanks to Nivitha, the one who served us! As it was our first time eating here, Nivitha recommended the food to us. No regrets at all. Nivitha is also really nice and friendly. Excellent service!

Other than that, we also ordered other food with Chef's recommendation symbol. All the food ordered is tasty. Will definitely come back here again when we visit Putrajaya. Highly recommended! (:",loveeee food ambience service cajun sauce especially really delicious thanks nivitha one served u first time eating nivitha recommended food u regret nivitha also really nice friendly excellent service also ordered food chef recommendation symbol food ordered tasty definitely come back visit putrajaya highly recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Sivaranjini Asokan,5,"Good service by the staff Nivitha. The only thing I like about the restaurant is the friendly staffs. Taste wise, I don't like the shell out so much. Especially the signature sauce. For food it's 4/10. For cleanliness & service it's 10/10.",good service staff nivitha thing like restaurant friendly staff taste wise like shell much especially signature sauce food cleanliness service,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Naozan AFA,5,"The food was super great~! 😋
The staff named Nivitha also greet us and treat us kindly from before entering shop and till the end of our serving!
Really recommended",food super staff named nivitha also greet u treat u kindly entering shop till end serving really recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Muhammad Syafiq,2,"To the manager, please take note that you outlet is understaffed and your present staff are all exhausted. This severely impacted our dining experience today; some of the seafood weren’t fully cooked (shrimp and calamari) and some of our items did not even arrive. As a I pointed out earlier, I fully understand the situation with the staff, but on a Saturday, eve of Ramadan, where the crowd is expected to be huge, this should have been considered before you opened for service today. Hope to try here again someday, with better food and service, but honestly the experience was so underwhelming, I’m not sure I’ll be coming back.",manager please take note outlet understaffed present staff exhausted severely impacted dining experience today seafood fully cooked shrimp calamari item even arrive pointed earlier fully understand situation staff saturday eve ramadan crowd expected huge considered opened service today hope try someday better food service honestly experience underwhelming sure coming back,positive,positive,negative
Ombak Kitchen @ IOI City Mall,Amanda Mpundu,5,I love their food. It was amazing.,love food amazing,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Shereen Oh,5,Great food and service. Everyone was happy with full tummy,great food service everyone happy full tummy,positive,positive,positive
Ombak Kitchen @ IOI City Mall,nik faizal,5,Good service and food are delicious too. Very recommended. Thanks nivita..,good service food delicious recommended thanks nivita,positive,positive,positive
Ombak Kitchen @ IOI City Mall,nur aiman,5,"nice place, affordable price and the staff (mr rabi) sooo nice ..👍👍👍👍",nice place affordable price staff mr rabi sooo nice,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Jennifer Low,5,Fresh seafood and good ambience! 👌 Terbaik!,fresh seafood good ambience terbaik,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Adam Md Shah,5,"Finding a place a special occasion? Heres the place! Great experience and Nivitha really helps us on selecting the menu, as this was our first visit. Will come again next time.",finding place special occasion here place great experience nivitha really help u selecting menu first visit come next time,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Kevin Bernard,5,"Good meal. Better service.

The food is pricey but that's what good seafood costs these days so can't blame the restaurant. The service is VERY good and we were made to feel welcome from the moment we walked in. Great place to bring the family!",good meal better service food pricey good seafood cost day ca blame restaurant service good made feel welcome moment walked great place bring family,positive,positive,positive
Ombak Kitchen @ IOI City Mall,hajan eileen,5,Love the food! Freshlicious - Maya has been attentive and helpful to us! ❤️,love food freshlicious maya attentive helpful u,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Salina Hassin,5,Love the food! Delicious,love food delicious,positive,positive,positive
Ombak Kitchen @ IOI City Mall,eka zahari,5,"Nice n cozy dine in. Delicious n fresh seafood. Sedap sgt all the sauces. N the staffs all really helpful n friendly. For the first timer like my husband n i, we really satisfied with the foods and services.
Keep it up team Ombak Kitchen!!!!",nice n cozy dine delicious n fresh seafood sedap sgt sauce n staff really helpful n friendly first timer like husband n really satisfied food service keep team ombak kitchen,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Maisarah Amran,5,Had a very good time here and enjoyed the food so much! Fresh seafood and perfect cajuj sauce and got an excellent service from nivitha! Definitely will come again,good time enjoyed food much fresh seafood perfect cajuj sauce got excellent service nivitha definitely come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Adam Imanullah,1,"We came at about 7.45pm, before the place got packed. The waitress tried to tell us the place was fully reserved, but most of the seats were not displayed as so. We ordered The Royal Platter, 2 sides and 3 drinks. Waitress took our order confidently without writing it down, gotta say, I was pretty impressed. About 30 mins in our drinks and sides came, no issue. 8.40pm, the restaurant was already packed, and the main dish came, except it wasn't what we ordered. It was order for the group behind us. We overheard the waitress telling another waitress to ""angkat bawak belakang, tambah sauce je"" which roughly translates to, ""bring it to back and just add sauce"", by 9pm we started seeing tables thst came after us receiving their order. So we decided to leave because we knew our order got pushed to the bottom of the list, and we would have to wait for another hour. I explained what I could to the manager, and he tried to say that the Platter was on the house 🤣 When it didn't even arrive. All of this could've been avoided if the waitress had WRITTEN DOWN HER ORDER.

1/5 rating.
I prefer the Bukit Jelutong branch.",came place got packed waitress tried tell u place fully reserved seat displayed ordered royal platter 2 side 3 drink waitress took order confidently without writing got ta say pretty impressed 30 min drink side came issue restaurant already packed main dish came except ordered order group behind u overheard waitress telling another waitress angkat bawak belakang tambah sauce je roughly translates bring back add sauce 9pm started seeing table thst came u receiving order decided leave knew order got pushed bottom list would wait another hour explained could manager tried say platter house even arrive could avoided waitress written order rating prefer bukit jelutong branch,positive,positive,negative
Ombak Kitchen @ IOI City Mall,Shafiq Asraf Solahudin,5,The food is great! With reasonable price too! Come here as the main purpose to have live oyster which are great! The waiters are very nice and friendly especially (Nivita). Will definitely come again!,food great reasonable price come main purpose live oyster great waiter nice friendly especially nivita definitely come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Putri Noor Syamimi Mohd Ridza,5,"There are varieties of combos you can choose depends on pax and budget. Fresh seafoods, great ambience. First time trying out oyster & lobster, my husband and i love them!
Friendly service by staffs especially nivitha. Recommended!",variety combo choose depends pax budget fresh seafood great ambience first time trying oyster lobster husband love friendly service staff especially nivitha recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Raja Zikri,5,Nivitha was very friendly and helpful in giving us suggestions when we needed it. Grilled chicken chop and seafood lunch set were very good as well,nivitha friendly helpful giving u suggestion needed grilled chicken chop seafood lunch set good well,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Steve Ken Nyen Choo,3,"The food quality not sure yet, I ordered at 10am and requested for delivery at 12pm, call to check around 12:30pm and was told waiting for driver but until 2pm food delivery haven't arrived.

Edited,
Food finally arrived at 2:25pm, the person in charge contacted us to apologise and provide refund.

Food quality is OK and fresh but a bit oily.",food quality sure yet ordered 10am requested delivery 12pm call check around told waiting driver 2pm food delivery arrived edited food finally arrived person charge contacted u apologise provide refund food quality ok fresh bit oily,positive,positive,neutral
Ombak Kitchen @ IOI City Mall,Fatin Harun,5,Very nice place. Nivitha our waitress is kind enough to ask us if we’re first timer and help through the menu and what’s best to order. Keep it up,nice place nivitha waitress kind enough ask u first timer help menu best order keep,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Amira Aquila,5,Cajun sauce was rly good,cajun sauce rly good,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Harnee Saad,5,"Very nice place for family dine in, fresh and tasty seafood. Very great service by the staff, offered to serve the crab for us!",nice place family dine fresh tasty seafood great service staff offered serve crab u,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Crystal Chong,5,"Excellent service by Nivitha, love her attitude. Keep it up 💕 food are excellent, love the lobster and prawn. Tried out buttermilk flavour, I’ll rate 10/10 !!",excellent service nivitha love attitude keep food excellent love lobster prawn tried buttermilk flavour rate,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Chwe,5,"the best place to enjoyed with family's , excellent services from huda and nivitha , the foods is superb ! very recommended ! will come again next time .",best place enjoyed family excellent service huda nivitha food superb recommended come next time,positive,positive,positive
Ombak Kitchen @ IOI City Mall,ahmad qahhar Termizi,5,Great food..the Cajun flavor sauce is really nice and the seafood is fresh.   thanks Nivitha for taking care of our needs and taking time to explain the menu.,great food cajun flavor sauce really nice seafood fresh thanks nivitha taking care need taking time explain menu,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Aina Balqis,5,"RAVI : friendly, soft spoken, good service, kind",ravi friendly soft spoken good service kind,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Zarith Adilah,5,The taste its really really good 🥰 sedap dan puas hati sangat.. and service from the staff name nevita sgt friendly and handle all my surprise birthday for my husband 😊. Thanks girl you do a great job even masuk pukul 10am sampai 4:36pm tak break lagi tetap layan customer sampai habis 👍🏻👍🏻👍🏻,taste really really good sedap dan puas hati sangat service staff name nevita sgt friendly handle surprise birthday husband thanks girl great job even masuk pukul 10am sampai tak break lagi tetap layan customer sampai habis,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Ilina Ismail,4,"The seafood was fresh, and the signature cajun sauce taste good. Nivitha, one of the staffs working there was very helpful. Definitely recommended. Be warned that it is on the pricier side though.",seafood fresh signature cajun sauce taste good nivitha one staff working helpful definitely recommended warned pricier side though,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Mira Mokhtar,5,The seafood are all fresh. I like the cajun sauce,seafood fresh like cajun sauce,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Azzli Imran Jaffar,4,"Food is really good, venue is clean. Appreciate if staff to be more attentive as i had to stand up and walk over to call for service. However they are polite and helpful. Good experience and will come again.",food really good venue clean appreciate staff attentive stand walk call service however polite helpful good experience come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Firdhaus Ramlan,5,"1. Very big portion
2. The food was delicious
3. The waitress (Nivitha) was really helpful and friendly. She assisted us on choosing the menu and always checking is everything ok.",big portion food delicious waitress nivitha really helpful friendly assisted u choosing menu always checking everything ok,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Zulfaiz,5,The food is great and the waiter Ms Nivitha is super friendly and helpful. Overall experience is great and absolutely will come again. Recommended 👍🏻👍🏻,food great waiter m nivitha super friendly helpful overall experience great absolutely come recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Mahdhiyahh,5,"Nivitha a good person, friendly, good service . ❤️✨",nivitha good person friendly good service,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Dania Farisya,5,service was good and food pun sedap you guys should try !! rabi really nice!,service good food pun sedap guy try rabi really nice,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Nurul Aimi,5,"We ordered 3 set of combo 5 , squid & prawn 3 sets for 15 pax . The food marvelous and sangatlah byk. Everyone really enjoyed the food 🥰😋. Worth and great to go when ure hungry 😋",ordered 3 set combo 5 squid prawn 3 set 15 pax food marvelous sangatlah byk everyone really enjoyed food worth great go ure hungry,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Nurin Adlina,5,"Servis Terbaik!!! Adik waiter yang layan kami sabar explain menu one by one and help to decide.. so many option set..  haha

Buttermilk sauce (kids friendly sauce) and Cajurn souce (medium heat) so nice! My family who is not spicy food fan can really enjoy it…

We are 9pax with take 2 set different sauce (1 small, 1 medium) add on 1 large prawn… with rice! Puas! Kenyang to the fulliest..

My father say the rice is fluffy full.. really nice!

Signature drink and Lava chocolate cake really good too!",servis terbaik adik waiter yang layan kami sabar explain menu one one help decide many option set haha buttermilk sauce kid friendly sauce cajurn souce medium heat nice family spicy food fan really enjoy 9pax take 2 set different sauce 1 small 1 medium add 1 large rice puas kenyang fulliest father say rice fluffy full really nice signature drink lava chocolate cake really good,positive,positive,positive
Ombak Kitchen @ IOI City Mall,asniafzah ariffin,5,Thank you Ridhuwan for your sincere and generous hospitality.,thank ridhuwan sincere generous hospitality,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Marina Jaal,1,"We had the worst experience.
Given, it's a Saturday nite. They are low on staff.
When we arrived at 7.45, there were only 3 tables. Waitress took n repeated our order. Perfectly. Abt 35 mins later an order arrived. Not ours. Turns out they swapped our orders w the table next to ours. Panic vibes all around. Silent whispers as to.. apa kita nak buat.. sbb plastic dah buka..tak apa  kita bawa balik belakang .. tambah sauce .. (oh dear.. kesian nya kat orang yang akan dapat.)
9.15p...restaurant is full..  we still didn't get our meal.  Oklah redho. Tak ada rezeki makan sana.
Mr Manager kept saying this is not how he trained his staff. Well Sir... staff u mmg commendable.. sbb itu kita tak marah pun mereka.. but  u all desperately need a better system.",worst experience given saturday nite low staff arrived 3 table waitress took n repeated order perfectly abt 35 min later order arrived turn swapped order w table next panic vibe around silent whisper apa kita nak buat sbb plastic dah buka tak apa kita bawa balik belakang tambah sauce oh dear kesian nya kat orang yang akan dapat restaurant full still get meal oklah redho tak ada rezeki makan sana mr manager kept saying trained staff well sir staff u mmg commendable sbb itu kita tak marah pun mereka u desperately need better system,positive,negative,negative
Ombak Kitchen @ IOI City Mall,Noraini Rahmat,5,"Ombak Kitchen serves awesome shellout style seafood. Initially we thought, ""eh sikitnya.."" but after we spread out the portion, quite alot including the rice sekali. Definitely satisfying!

We ordered the XL fresh oysters as well - a first for us! And we love the oysters smeared with the 3 sauces, bloody mary, soy ginger and spicy mary, including lemon.. fuuhhh.. like I always say when food is great, shiokalingam!!

Trimakaseh to the staff jugak, you guys are super friendly. All the best, Ombak Kitchen!

Love from Singapura",ombak kitchen serf awesome shellout style seafood initially thought eh sikitnya spread portion quite alot including rice sekali definitely satisfying ordered xl fresh oyster well first u love oyster smeared 3 sauce bloody mary soy ginger spicy mary including lemon fuuhhh like always say food great shiokalingam trimakaseh staff jugak guy super friendly best ombak kitchen love singapura,positive,positive,positive
Ombak Kitchen @ IOI City Mall,azlan anuar,5,"Great seafood, love the fresh oyster!. Cajun sauce is just delicious. Wonderful staffs too. Our second time here and will def come again.",great seafood love fresh oyster cajun sauce delicious wonderful staff second time def come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Hannah Hisham,5,Service is really good. Food was splendid. Portion was sufficient for what was stated. Overall nice environment. 😃,service really good food splendid portion sufficient stated overall nice environment,positive,positive,positive
Ombak Kitchen @ IOI City Mall,azzarul syazmir,5,The Alaskan king crab is affordable here! And the food is very nice! The staff name Nivitha is super friendly and helpful.,alaskan king crab affordable food nice staff name nivitha super friendly helpful,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Siti Hajar,5,"Staff is very friendly and helpful. To owner, Please give extra credit to this staff: Rabi.",staff friendly helpful owner please give extra credit staff rabi,positive,positive,positive
Ombak Kitchen @ IOI City Mall,aimil syahidin,5,Best birthday celebration ever!! Thanks to the Mr Bali and team for the great experience. Definitely will come back with my crowd. Sorry for the mess. ❤️,best birthday celebration ever thanks mr bali team great experience definitely come back crowd sorry mess,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Syarifah Latif,5,Staff at ombak are very friendly  and always smilling. The service they gave very nice. The foods within my expectation. Overall i enjoy eating there.,staff ombak friendly always smilling service gave nice food within expectation overall enjoy eating,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Nallany Amavasy,5,"Well welcomed by all staff😊i like the how the staff are all helpful and friendly, especially Ms mita😍food was very delicious ❤️high recommended 😍",well welcomed like staff helpful friendly especially m delicious recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,iman rozhan,5,The service from the moment I texted the restaurant to place an order was superb including entertaining my many questions on getting the right combo. Food arrived earlier than expected which was good. And the food was delicious.,service moment texted restaurant place order superb including entertaining many question getting right combo food arrived earlier expected good food delicious,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Farah Ghani,5,Delicious food especially the cajun sauce. Good value for money and the service is fast and excellent! Thank you Batul for making our family outing so much fun!,delicious food especially cajun sauce good value money service fast excellent thank batul making family outing much fun,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Syariza Kamsan,5,Great food and great service. Wonderful experience and great hospitality especially by Ms Nivitha. Will definitely come again.,great food great service wonderful experience great hospitality especially m nivitha definitely come,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Vikneswaran Perumal,5,"Special thanks to Nivitha for serving the pure awesomeness here to our table. The shell out food was fresh and tasty.

-Kaveeshan Vikneswaran",special thanks nivitha serving pure awesomeness table shell food fresh tasty vikneswaran,positive,positive,positive
Ombak Kitchen @ IOI City Mall,akuh jer,5,"wonderful yummy food. salmon, cajun fried rice, seafood napolitana, and lobster thermidor were all yummy. and very friendly staff as well esp nivitah. will def come again with more family members.",wonderful yummy food salmon cajun fried rice seafood napolitana lobster thermidor yummy friendly staff well esp nivitah def come family member,positive,positive,positive
Ombak Kitchen @ IOI City Mall,zurazuwan dk,5,"Overall great experience. Credit to the friendly staff Mr. Rabi & Shafiq, Ombak IOI Putrajaya. Keep it up.",overall great experience credit friendly staff rabi shafiq ombak ioi putrajaya keep,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Noor Aqidah Sharh,5,The meal that suggested by Nivita was very nice. The seafoods are fresh and tasty. We had a great lunch here. Thanks to Nivita for her good services too.,meal suggested nivita nice seafood fresh tasty great lunch thanks nivita good service,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Azita Azlan,5,Delicious food and lovely service. 🤤,delicious food lovely service,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Wajib Tayang,5,"First time try Shell-out it was great experience at Ombak Kitchen. Thank You Ombak Kitchen for serving the best Shellout i've ever had ❤️❤️❤️
andd last but not least, Happy Birthday to Chef Arzanee 🫶🏻 thank you for having me 😬 …",first time try great experience ombak kitchen thank ombak kitchen serving best shellout ever andd last least happy birthday chef arzanee thank,positive,positive,positive
Ombak Kitchen @ IOI City Mall,sleepy lllama,5,I love ombak kitchen! The crazy cajun sauce is a must try! I come here on every special occasion to celebrate with family and friends with good food. Highly recommended,love ombak kitchen crazy cajun sauce must try come every special occasion celebrate family friend good food highly recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Atiqah Azhar,5,"The food really good, music is nice and evironment very clean and tidy. Suitable if u nak buat family gathering or celebrate special dates with ur love ones !! Really recommended 👍👍👍👍 if you here, find Nivitha. She has good customer service and very friendly 🫰🏻",food really good music nice evironment clean tidy suitable u nak buat family gathering celebrate special date ur love one really recommended find nivitha good customer service friendly,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Hafiz Halim,5,Best seafood in town. Thanks Nivitha for your excellent services for us to enjoy food👍😊🫶🏼,best seafood town thanks nivitha excellent service u enjoy,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Nur Sabrina,5,Food’s always good. Good ambience. Servers friendly. Visited this place last month and this month I visited it again with my family..I think it would be a monthly tradition to come here once a month haha.,food always good good ambience server friendly visited place last month month visited family think would monthly tradition come month haha,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Ahnaf Ghafar,5,"I would like echo a very helpful and friendly staff - Nivitha. The food was absolutely delicious and fresh. Eat outside table, and felt the calm breeze. Thumbs up!!",would like echo helpful friendly staff nivitha food absolutely delicious fresh eat outside table felt calm breeze thumb,positive,positive,positive
Ombak Kitchen @ IOI City Mall,intan nur hidayah,5,Staffs were super friendly to accomodate my dad’s birthday. Wonderful experience!,staff super friendly accomodate dad birthday wonderful experience,positive,positive,positive
Ombak Kitchen @ IOI City Mall,fadzli khairi,5,"Delicious food, good ambience, perfect for birthday celebration..special shout out to mrs manager, Nivita for her assistance and good service..will repeat again for sure..",delicious food good ambience perfect birthday celebration special shout mr manager nivita assistance good service repeat sure,positive,positive,positive
Ombak Kitchen @ IOI City Mall,aqharie durranie,2,For ramadan buffet the food served was very cold. The seafood combo was cold as the potato salad and the kuah very salty. Very limited options,ramadan buffet food served cold seafood combo cold potato salad kuah salty limited option,negative,negative,negative
Ombak Kitchen @ IOI City Mall,nur saadah,5,Very recommended.. surely i will repeat again.. tq ombak kitchen ☺️,recommended surely repeat tq ombak kitchen,positive,positive,positive
Ombak Kitchen @ IOI City Mall,S Q,4,"8/10, food was nice, seafood was fresh and restaurant is clean. Dave was such a great help. Will come back again next time.",food nice seafood fresh restaurant clean dave great help come back next time,positive,positive,positive
Ombak Kitchen @ IOI City Mall,aiman zaki,5,"Friendly staff, delicious food, reasonable price. Great experience overall. Cheese baked oyster is a must for those plan to visit.",friendly staff delicious food reasonable price great experience overall cheese baked oyster must plan visit,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Farrah Dina,5,"My boyfriend and me love the food , overall 10/10",boyfriend love food overall,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Tinypopparties Tinypop,5,Nivitha the staff is very friend and helping. The food is good and delicious. Cajun sause if recommended.,nivitha staff friend helping food good delicious cajun sause recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,fatin hazirah,5,"The food never disappoint here! Also, if the waiter see your struggling with them crab, they will come and help you to ketuk it. That was truly a great help :)",food never disappoint also waiter see struggling crab come help ketuk truly great help,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Tyrazz Thomas,5,"Dine in for 4adult and 1child. The food is tasty, the service is superb 👍🏻wasn’t expecting for the birthday decoration and celebration. But, the crew made our day by arranging such a surprise sing and song. 🎉 generous hospitality i should say 👏🏻👏🏻👏🏻👏🏻well done and all the best!",dine 4adult 1child food tasty service superb expecting birthday decoration celebration crew made day arranging surprise sing song generous hospitality say done best,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Nuurul Basar Mohd Baki,5,"I bring my visitors from Jakarta whom have been all over globe and he and his wife was shocked we have shellout.
Something that he have never seen in Thai, Indonesia, Vietnam, Philippines before.
Well he have a complain which is about certain type of drink that according to him ""basaz, it will make the dinner perfect"".
My answer was 😬 they don't have the license to sold that.",bring visitor jakarta globe wife shocked shellout something never seen thai indonesia vietnam philippine well complain certain type drink according basaz make dinner perfect answer license sold,positive,positive,positive
Ombak Kitchen @ IOI City Mall,ZULFITRI,5,very good service n very frenly,good service n frenly,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Mageswary Muniandy,5,Love the food. Please go with more members... easy to finish the food... different taste..different ambient.. different quality... love the surrounding too...,love food please go member easy finish food different taste different ambient different quality love surrounding,positive,positive,positive
Ombak Kitchen @ IOI City Mall,mohd azuraidi osman,5,Food is marvelous. Staff are super friendly especially Nivitha. Genuine smile.,food marvelous staff super friendly especially nivitha genuine smile,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Zetty Idris,5,The food was superb.... tqvm Miss Nivita & all the team for ur kindness & good service.. will recommend to others👍🏻,food superb tqvm miss nivita team ur kindness good service recommend,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Shafa Azmi,4,"Personally, the seafood is not that fresh but the taste of sauce is good. For such a price, we could get better option. In terms of seasoning, I believe it tastes good.",personally seafood fresh taste sauce good price could get better option term seasoning believe taste good,positive,positive,positive
Ombak Kitchen @ IOI City Mall,yushanaliza Hamdan,5,Very good,good,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Kartina Ramli,5,Awesomeee service.. thank you Ridzuan,awesomeee service thank ridzuan,neutral,positive,positive
Ombak Kitchen @ IOI City Mall,Danial Hakimi,5,"Nice place, delicious food and friendly staff. Very recommended.",nice place delicious food friendly staff recommended,positive,positive,positive
Ombak Kitchen @ IOI City Mall,Masni Ismail,5,Good service! Food so delicious..credit to Ms Nivita👏🏻👏🏻👏🏻,good service food delicious credit m,positive,positive,positive
